Intervjuobjekt;Kommunenr;Dato;KjÌünn;Alder;Pros..Jobb;Bonde;tot.areal;Leie;AktÌürer;Leie.hva;Tjene.nok;Landbrukutd.;HÌüere.utd.;Praktisk.utd.;Nytte.av.utd.;Belastning.helse;Ekstra.hjelp;Hvem.hjelper;Hva.betyr.bÌ_rekraftig.utvikling.for.deg.;FN.B.mÌ´l;NordH..Bios;Kommunen;B.viktighet;RÌ´dgivningsinstanser;OppsÌükt.rÌ´d;Tilrettelagt.etter.innspill;Del.av.nettverk;Netverk..Hvilke;Samfunn.i.bygda;Faglig.tidskrift;StrÌüm;E..StrÌüm;E..diesel;E..annet;Energisparing;E.Hvilke;Vannkilde;Sikkerhet.vann;Utnytter.energi;Avlinger;Artsmangfold;GjÌüdsle.innmark;Innmark.Kunst.husdyr;Utmark;Utmarksressurser;Utmark.Godt.utnyttet;Tilgang.fellesbeite;Skogproduksjon;NÌ_ringstoffregnskap;GjÌü..Husdyr;FÌ«rer.sau.utegang;GjÌü..Husdyr.hva;GjÌü..Husdyr.kjÌüptfÌ´tt;GjÌü.Kunst;GjÌü..Kunst.type;GjÌü..Kunst.mengde;GjÌü..Kalk;GjÌü..Annet;JordprÌüver;Plan.fra.jordprÌüve;Tiltak.jordsmonn;KraftfÌ«r;Kraftf™r/dk full og overflate;Mengde.KraftfÌ«r.Tonn;KSL;MiljÌüplan;Driftsformer;Antall.driftsformer;Smaken.av.NH;Produkter.til.salgs;Selger.til;Drive.med.matproduksjon;Stolt.bonde;Respekt.som.bonde;lokal.matproduksjon.Vestlandet;Utfordringer.for.et.fremtidsrettet.bÌ_rekraftig.landbruk.;Tiltak.for.B.pÌ´.gÌ´rden;Begrensninger.pÌ´.Bdrift;PÌ´virket.av.kilma;Frykter.pÌ´virkning.klima;KlimapÌ´virkning.hvordan;Grep.forbedredelse.klima;Forberedelse.klima.hvilke;Lenge.gÌ´rden.i.drift;Ì÷konomisk.bÌ_rekraftig;Ì÷kologisk.bÌ_rekraftig;Sosialt.bÌ_rekraftig;TilfÌüyelse
21;1264;24.01.19;Mann;56;10;37;400;ja;8;Dyrket mark;nei;ja;nei ;nei;3,00;3,00;ja;familie, avlÌüyser;Skeptisk til rettningsvalg, mye byrÌ´krati, mye hakking og kontroll, felles drag, Overproduksjon, globalt trenger mat. ;nei;nei;ja;5,50;Tine, ForsÌüksringen, NLR, Landbrukskontoret;Ja;3,00;nei;0;4,50;3,00;ja;Nett;ja;NA;ja;Ledarmatur, bytte pÌ_rer, varmepompe;Borrehull;6,00;2,00;Gress;4,00;ja;husdyr /Kunst;ja;Lyng;1,00;nei;ja;Nei;ja;nei;Ku;nei;ja;25-3-6, 22-2-12, 18-3-15, N28;25,00;ja;nei;ja;ja;SLANGESPREDER, KOMMUNE MÌÉLER AVRENNING, LETTE TRAKTORER (MINDRE ENN 4 TONN), TVILLING HJUL/ BREDE HJUL PÌÉ ALT UTSTYR;ja;0.397553517;130,00;ja;JA;MELK, SELGER OKSEKALVER, LEIEKJÌ÷RING, BRÌ÷YTING, BRANNVESENET, villsau;5,00;nei;MELK, KJÌ÷TT, OKSEKALVER,FÌÓR;;5,00;ja;nei;5,00;lÌüsdriftskravet i 2034, mye gjeld pga tvunget til Ì´ bygge nytt, bremse pÌ´ overproduksjon, mulighet til Ì´ leve av smÌ´ og mellomstore bruk, mye byrÌ´krati trussel om trekk av tilskudd;MAKINER TILPASET MYRJORD;4,00;ja;ja;MYRJORD, VÌÉTT;ja;MINDRE SAMARBEID I SLÌÉTTEN, GRÌ÷FTING;50;ja;ja;ja;Sliter med beiting av hjort og gÌ´s ( gjÌür stor skade pÌ´ dyrket mark og rundballer)
22;1263;20.02.19;Mann;47;100;4;12000;ja;1;Dyrket mark;nei;nei;nei ;ja;4,50;3,00;ja;familie;Utvikling mÌ´ vÌ_re der, ta med de smÌ´;nei;nei;nei;4,00;Landbrukskontoret;Ja;4,00;ja;Beitelag, Jaktlag;5,00;3,00;ja;Nett;ja;Ved;ja;Etterisolerer, slÌ´ av lyset;BrÌünn;5,00;4,50;Gress;4,00;ja;husdyr /Kunst;ja;Beite, Ved, Jakt, fisk;3,00;ja;nei;;ja;nei;Sau;nei;ja;22-2-12, 18-3-15;4,00;ja;nei;ja;ja;GrÌüfting, tvillinghjul;ja;0.052631579;2,00;ja;;Sau, brÌüyting;2,00;ja;KjÌütt sau, ull;Fatlanf, kommune;6,00;ja;ja;5,00;Luksusen til folk, forbruk, samfunnspress;Ì÷ke med sau, ny driftsbyggning;3,00;nei;nei;;nei;;30;ja;ja;ja;
23;1263;19.02.19;Kvinne;58;100;14;500;nei;0;0;nei;ja;ja;ja;6,00;2,00;nei;avlÌüyser, ansatt;Forvalter system, Ta ut mat, ressursbruk, ny form;ja;ja;ja;6,00;NLR, Landbrukskontoret, UiB;Ja;4,00;ja;Naboer, Museum ;6,00;3,00;ja;Nett;ja;Bensin;ja;Klimaanlegg, Nattsenking av temperatur;Borrehull;3,00;4,00;Gress, potet, bÌ_r;3,00;ja;Husdyr;ja;Beite, lyng;5,00;ja;nei;Nei;ja;ja;Ku, villsau ute, hÌüns;ja;nei;0;0,00;nei;nei;ja;ja;Minst mulig bar jord pÌ´ vinteren, GrÌünn gjÌüdsel;ja;0.002702703;0,10;ja;;Lynghei, sau, Turisme, museum, Utleie av lokale/kjÌükken;5,00;ja;Overnatting, kjÌütt, ull, oplevelser;Privat;6,00;ja;ja;6,00;Ì÷konomiiske, verdiregnskap, politisk;Driftsplan, fÌ´ tak i gÌ´rdsforvalter;4,00;ja;ja;;ja;Samle opp regnvann til vanning;200;nei;ja;ja;Generasjonskifte ->tiltak for biosfÌ_reomrÌ´der
24;1253;11.02.19;Mann;60;100;30;230;ja;3;Dyrket mark og beite;nei;nei;nei ;ja;5,00;3,00;ja;familie;plass for de som er smÌ´, produksjon som ivaretar landskapet, kjÌütt og melkebroduksjon pÌ´ gressressurser og utmark. #sitat, rein norsk matproduksjon, helse i tilleg til Ìükonomi;ja;nei;nei;5,50;NLR, Landbrukskontoret, Sauekontrollen, Fylkesmannen, Nortura;Ja;5,00;ja;Sauelag, ForsÌüksring, Sankelag, Gjeterhund, GjeterrÌ´d, Bondelaget;5,00;5,00;ja;Nett;ja;Ved;nei;Varmegjennvinning i huset;BrÌünn;5,00;5,00;Gress;3,50;ja;husdyr /Kunst;ja;Beite, ved, hjortejakt;5,00;ja;nei;Nei;ja;nei;Sau;nei;ja;22-2-12, 25-3-10,;7,50;ja;nei;ja;ja;GrÌüfting med vedlikehold, Kantsone mot elv, Muslingelv: avrenning -> gjÌüdsle til bestemte tider;ja;0.063953488;5,50;ja;Ja;Gjeterhundtrening, Sau, ved, hundeavl;4,00;nei;Valper, kjÌütt, ull;Notrua, Privat;6,00;ja;ja;6,00;Verdisetting av sosial og milj¿messig dimensjon av b¾rekraft - bare fokus pŒ ¿konomi, politikerne verdsetter mer enn stor produksjon av mat.;Mulig direktesalg, for Ì´ utvide mÌ´ kjÌüpe inn husdyrgjÌüdsel, leie slÌ´tteareal som er enklere Ì´ drive;2,00;ja;ja;VÌ´tt for slÌ´tt;ja;Begrense maskinstÌürrelsen, grÌüfting;15;ja;ja;ja; 
27;1256;04.02.19;Par;35;100;7;76;nei;0;0;nei;nei;ja;ja;2,50;2,50;ja;familie, venner;kulturlandskap, selvforsÌürget ;nei;ja;nei;4,00;Landbrukskontoret, NLR;Ja;5,00;nei;0;2,00;1,00;ja;Nett;ja;Ved, bensin;ja;Etterisolert, byttet vinduer, fyre med ved;kommunalt;6,00;4,00;Gress, grÌünnsaker;4,00;ja;husdyr /Kunst;ja;Ved, beite tÌümmer;4,00;nei;ja;Nei;ja;ja;Sau, hÌüns;nei;ja;22-3-10, 18-3-15;0,60;ja;nei;ja;ja;GrÌüfting, Forsiktig kjÌüring med stor traktor;ja;0.031578947;0,60;nei;Nei;Sau, Gris, grÌünnsaker, Ved, hÌüner;5,00;ja;KjÌütt sau, kjÌütt gris, ull, ;Notrura;5,00;ja;ja;5,00;¯konomisk l¿nnsomhet, investeringsbehov, kost-nytte vurdering utstyrsnivŒ og tiltak.;Ugressbekjempelse, rydde skog, sette opp gjerder;3,50;ja;ja;FÌ«rutviklingen;ja;GrÌüfting;100;ja;ja;nei;
30;1263;04.02.19;Par;68;Pensjonist;40;1300;nei;0;0;nei;nei;ja;nei;3,00;4,00;ja;familie, naboer, avlÌüyser;Holde i hvevd, vedlikeholde invistere litt, lite gjeld holde hode over vannet, invistere etter mÌ´te.;nei;nei;nei;3,00;Landbrukskontoret, Fatland, Naboer;Nei;2,00;nei;0;5,00;0,00;ja;Nett;ja;Ved;ja;SlÌ´ av lyset, sparepÌ_rer;Borrehull, brÌünn;6,00;4,00;Gress;4,00;ja;husdyr /Kunst;ja;Skog, beite, Jakt;2,00;ja;nei;Nei;nei;ja;Villsau ute;nei;ja;18- 3-15,;0,40;nei;nei;nei;nei;0;ja;0.015;0,60;ja;Nei;Villsau utegang, tomter;1,00;ja;kjÌütt;Nortura, Fatland;3,00;ja;nei;5,00;Store gŒrder, flere typer dyr, vanskelig Œ finne tilleggsareal n¾rt hjemmegŒrden, smŒ bruk uten konsesjonsplikt, tar ikke v¾re pŒ gŒrden. Vanskelig med store enheter pŒ Vestlandet, Fritid - avl¿yserordning, l¿nnsomhet for smŒ bruk.;Mekanisk rive, beitepusser, slÌ´maskin, silopakker, vedmaskin;4,00;ja;ja;VÌ´tt til tÌürking av tÌürhÌüy;nei;NA;20;nei;ja;ja;tradisjon mat og kultur, holde landskapet
31;1260;19.02.19;Mann;53;0;26;290;ja;3;Dyrket mark;ja;ja;nei ;nei;6,00;3,00;ja;avlÌüyser;gÌ´r mot stordrift, samdrift;nei;nei;ja;6,00;Nabo, Landbrukskontoret;Ja;3,00;nei;0;6,00;4,00;ja;Nett;ja;Ved;ja;Skifter til LedlysrÌür;kommunalt;6,00;3,00;Gress;3,00;ja;husdyr /Kunst;ja;Skog, Beite, jakt hjort;2,00;nei;ja;Nei;ja;nei;Ku;nei;ja;25-2-6, 22-2-12, 18-3-15;7,50;ja;nei;ja;ja;ÌÉpne kanaler rundt, Vegitasjon i kanalenr, GrÌüfting, lite plÌüying;ja;0.382165605;60,00;ja;;Melk, okser;2,00;nei;Melk, kjÌütt ku okse, ;Tine, nortura;3,00;ja;ja;5,00;Mye krav/kurs, mye byrÌ´krati;Lausdrift, Redskapshus;5,00;ja;ja;VÌ´tt;ja;GrÌüfting;15;ja;ja;ja;
33;1260;22.02.19;Mann;33;100;6;400;ja;1;Dyrket mark;nei;nei;ja;nei;2,00;2,00;ja;familie;Jobb bygging, Utslipp, lite kraftfÌ«r;ja;ja;nei;4,50;Foreldre, Beitelag, VÌ_rering;Ja;3,00;ja;Beitelag, SmÌ´brukerlaget;5,00;4,00;ja;Nett;ja;Ved, bensin;nei;;Kommunalt;6,00;3,00;Gress, frukt;3,50;ja;husdyr /Kunst;ja;Beite, Skog, jakt hjort;2,00;ja;nei;;ja;nei;Sau;nei;ja;18-3-15,;3,60;nei;nei;nei;nei;GrÌüfter, tvillinghjul, tilpasset kjÌüring;ja;0.040677966;2,40;ja;;Sau, Direktesalg til lokalmat;2,00;nei;kjÌütt, ull, slagt;Nortura, Lokalforedling;6,00;ja;nei;6,00;Ì÷konomi for neste generasjon, Status;Byggninger fjÌüs, Skog bruk gjort om, gjÌ_ring, grÌüfting;3,00;nei;ja;Vann;nei;;40;nei;ja;ja;
34;1260;25.02.19;Par;67;Pensjonist;23;400;ja;5;Dyrket mark og beite;nei;nei;nei ;ja;6,00;4,50;ja;familie;Litt stÌürrelse, melk;nei;nei;nei;6,00;Landbrukskontoret, NLR, Tine, Geno, Nortura;Ja;6,00;ja;Naboer;6,00;3,00;ja;Nett, Agregat;ja;;ja;Varmepumpe, ledlyspÌ_rer;BrÌünn, kommunalt;6,00;4,00;Gress;3,00;ja;husdyr /Kunst;ja;Lynd, beite, jakt hjort;3,00;nei;ja;;ja;nei;Ku;nei;ja;22-2-12, 18-3-15;6,50;ja;nei;ja;ja;Lite plÌüying;ja;0.105263158;8,00;ja;;Kviger drektige, okser;2,00;nei;Drektige kviger, KjÌütt okser;Fatland, nortura;6,00;ja;nei;6,00;Sitka, VÌ_ret, lite interesse fra unge;Overtakelse;2,00;ja;ja;VÌ´tt;ja;GrÌüfting;50;ja;ja;ja;
36;1263;20.02.19;Mann;65;60;30;100;nei;0;0;nei;ja;ja;nei;4,00;5,00;ja;avlÌüyser;Lokale ressursbruk;ja;nei;ja;4,00;Landbrukskontoret, venner;Nei;4,00;nei;0;2,00;1,00;ja;Nett;ja;Ved;ja;Varmepumpe, slokke lys;Borrehull, kommunalt;6,00;4,50;;5,00;ja;husdyr /Kunst;ja;Beite, ved;4,00;nei;nei;Nei;ja;ja;Sau, Ku;nei;ja;22-3-12,;0,40;nei;nei;nei;nei;KjÌürer lite pÌ´ vÌ´t jord, Tvillinghjul, Lar trÌ_r stÌ´ igjen, vegetasjon ved bekken;ja;0.109090909;1,20;ja;;Kai, sau, villsau, tomter;4,00;ja;Skinn, kjÌütt, utleie;Privat, nortura;4,50;ja;nei;5,00;Penger, konkurser, overinvesteringer, Konflikter, tid er penger;Utleie av hytter, Utvide kai, Turisme med bÌ´tutleie;5,00;ja;nei;;ja;Bygging ved sjÌüen;25;nei;ja;nei;
