Intervjuobjekt;Kommunenr;Dato;Kj¿nn;Alder;Pros..Jobb;Bonde;tot.areal;Leie;Akt¿rer;Leie.hva;Tjene.nok;Landbrukutd.;H¿yere.utd.;Praktisk.utd.;Nytte.av.utd.;Belastning.helse;Ekstra.hjelp;Hvem.hjelper;Hva.betyr.b¾rekraftig.utvikling.for.deg.;FN.B.mŒl;NordH..Bios;Kommunen;B.viktighet;RŒdgivningsinstanser;Opps¿kt.rŒd;Tilrettelagt.etter.innspill;Del.av.nettverk;Netverk..Hvilke;Samfunn.i.bygda;Faglig.tidskrift;Str¿m;E..Str¿m;E..diesel;E..annet;Energisparing;E.Hvilke;Vannkilde;Sikkerhet.vann;Utnytter.energi;Avlinger;Artsmangfold;Gj¿dsle.innmark;Innmark.Kunst.husdyr;Utmark;Utmarksressurser;Utmark.Godt.utnyttet;Tilgang.fellesbeite;Skogproduksjon;Gj¿..Husdyr;F™rer.sau.utegang;Gj¿..Husdyr.hva;Gj¿..Husdyr.kj¿pt/fŒtt;Gj¿.Kunst;Gj¿..Kunst.type;Gj¿.Kunst.mengde;Gj¿.Kalk;Gj¿..Annet;Jordpr¿ver;Plan.fra.jordpr¿ve;Tiltak.jordsmonn;Kraftf™r;Kraftf™r/dk full og overflate;Mengde.Kraftf™r.Tonn;KSL;Driftsformer;Antall.driftsformer;Smaken.av.NH;Produkter.til.salgs;Selger.til;Drive.med.matproduksjon;Stolt.bonde;Respekt.som.bonde;lokal.matproduksjon.Vestlandet;Utfordringer.for.et.fremtidsrettet.bÌ_rekraftig.landbruk.;Tiltak.for.B.pŒ.gŒrden;Begrensninger.pŒ.Bdrift;PŒvirket.av.kilma;Frykter.pŒvirkning.klima;KlimapŒvirkning.hvordan;Grep.forbedredelse.klima;Forberedelse.klima.hvilke;Lenge.gŒrden.i.drift;¿konomisk.b¾rekraftig;¿kologisk.b¾rekraftig;Sosialt.b¾rekraftig
21;1264;24.01.19;Mann;56;10;37;400;ja;8;Dyrket mark;nei;ja;nei ;nei;3,00;3,00;ja;familie, avl¿yser;Skeptisk til rettningsvalg, mye byrŒkrati, mye hakking og kontroll, felles drag, Overproduksjon, globalt trenger mat. ;nei;nei;ja;5,50;Tine, ForsÌüksringen, NLR, Landbrukskontoret;Ja;3,00;nei;0;4,50;3,00;ja;Nett;ja;NA;ja;Ledarmatur, bytte p¾rer, varmepompe;Borrehull;6,00;2,00;Gress;4,00;ja;husdyr /Kunst;ja;Lyng;1,00;nei;ja;ja;nei;Ku;nei;ja;25-3-6, 22-2-12, 18-3-15, N28;25,00;ja;nei;ja;ja;SLANGESPREDER, KOMMUNE MŒLER AVRENNING, LETTE TRAKTORER (MINDRE ENN 4 TONN), TVILLING HJUL/ BREDE HJUL PÌÉ ALT UTSTYR;ja;0.397553517;130,00;ja;MELK, SELGER OKSEKALVER, LEIEKJ¿RING, BR¿YTING, BRANNVESENET, villsau;5,00;nei;MELK, KJ¿TT, OKSEKALVER ,F™R;;5,00;ja;nei;5,00;l¿sdriftskravet i 2034, mye gjeld pga tvunget til Œ bygge nytt, bremse pŒ overproduksjon, mulighet til Œ leve av smŒ og mellomstore bruk, mye byrŒkrati trussel om trekk av tilskudd;MAKINER TILPASET MYRJORD;4,00;ja;ja;MYRJORD, VŒTT;ja;MINDRE SAMARBEID I SLŒTTEN, GR¿FTING;50;ja;ja;ja
22;1263;20.02.19;Mann;47;100;4;12000;ja;1;Dyrket mark;nei;nei;nei ;ja;4,50;3,00;ja;familie;Utvikling mŒ v¾re der, ta med de smŒ;nei;nei;nei;4,00;Landbrukskontoret;Ja;4,00;ja;Beitelag, Jaktlag;5,00;3,00;ja;Nett;ja;Ved;ja;Etterisolerer, slŒ av lyset;Br¿nn;5,00;4,50;Gress;4,00;ja;husdyr /Kunst;ja;Beite, Ved, Jakt, fisk;3,00;ja;nei;ja;nei;Sau;nei;ja;22-2-12, 18-3-15;4,00;ja;nei;ja;ja;Gr¿fting, tvillinghjul;ja;0.052631579;2,00;ja;Sau, br¿yting;2,00;ja;Kj¿tt sau, ull;Fatland, kommune;6,00;ja;ja;5,00;Luksusen til folk, forbruk, samfunnspress;¯ke med sau, ny driftsbyggning;3,00;nei;nei;;nei;;30;ja;ja;ja
23;1263;19.02.19;Kvinne;58;100;14;500;nei;0;0;nei;ja;ja;ja;6,00;2,00;nei;avl¿yser, ansatt;Forvalter system, Ta ut mat, ressursbruk, ny form;ja;ja;ja;6,00;NLR, Landbrukskontoret, UiB;Ja;4,00;ja;Naboer, Museum ;6,00;3,00;ja;Nett;ja;Bensin;ja;Klimaanlegg, Nattsenking av temperatur;Borrehull;3,00;4,00;Gress, potet, bÌ_r;3,00;ja;Husdyr;ja;Beite, lyng;5,00;ja;nei;ja;ja;Ku, villsau ute, hÌüns;ja;nei;0;0,00;nei;nei;ja;ja;Minst mulig bar jord pŒ vinteren, Gr¿nn gj¿dsel;ja;0.002702703;0,10;ja;Lynghei, sau, Turisme, museum, Utleie av lokale/kj¿kken;5,00;ja;Overnatting, kj¿tt, ull, oplevelser;Privat;6,00;ja;ja;6,00;¯konomiske, verdiregnskap, politisk;Driftsplan, fŒ tak i gŒrdsforvalter;4,00;ja;ja;;ja;Samle opp regnvann til vanning;200;nei;ja;ja
24;1253;11.02.19;Mann;60;100;30;230;ja;3;Dyrket mark og beite;nei;nei;nei ;ja;5,00;3,00;ja;familie;plass for de som er smŒ, produksjon som ivaretar landskapet, kj¿tt og melkebroduksjon pŒ gressressurser og utmark. #sitat, rein norsk matproduksjon, helse i tilleg til Ìükonomi;ja;nei;nei;5,50;NLR, Landbrukskontoret, Sauekontrollen, Fylkesmannen, Nortura;Ja;5,00;ja;Sauelag, Fors¿ksring, Sankelag, Gjeterhund, GjeterrŒd, Bondelaget;5,00;5,00;ja;Nett;ja;Ved;nei;Varmegjennvinning i huset;Br¿nn;5,00;5,00;Gress;3,50;ja;husdyr /Kunst;ja;Beite, ved, hjortejakt;5,00;ja;nei;ja;nei;Sau;nei;ja;22-2-12, 25-3-10,;7,50;ja;nei;ja;ja;Gr¿fting med vedlikehold, Kantsone mot elv, Muslingelv: avrenning -> gj¿dsle til bestemte tider;ja;0.063953488;5,50;ja;Gjeterhundtrening, Sau, ved, hundeavl;4,00;nei;Valper, kj¿tt, ull;Notrua, Privat;6,00;ja;ja;6,00;Verdisetting av sosial og milj¿messig dimensjon av b¾rekraft - bare fokus pŒ ¿konomi, politikerne verdsetter mer enn stor produksjon av mat.;Mulig direktesalg, for Œ utvide mŒ kj¿pe inn husdyrgj¿dsel, leie slŒtteareal som er enklere Œ drive;2,00;ja;ja;VŒtt for slŒtt;ja;Begrense maskinst¿rrelsen, gr¿fting;15;ja;ja;ja
27;1256;04.02.19;Par;35;100;7;76;nei;0;0;nei;nei;ja;ja;2,50;2,50;ja;familie, venner;kulturlandskap, selvfors¿rget ;nei;ja;nei;4,00;Landbrukskontoret, NLR;Ja;5,00;nei;0;2,00;1,00;ja;Nett;ja;Ved, bensin;ja;Etterisolert, byttet vinduer, fyre med ved;kommunalt;6,00;4,00;Gress, gr¿nnsaker;4,00;ja;husdyr /Kunst;ja;Ved, beite t¿mmer;4,00;nei;ja;ja;ja;Sau, hÌüns;nei;ja;22-3-10, 18-3-15;0,60;ja;nei;ja;ja;Gr¿fting, Forsiktig kj¿ring med stor traktor;ja;0.031578947;0,60;nei;Sau, Gris, gr¿nnsaker, Ved, h¿ner;5,00;ja;Kj¿tt sau, kj¿tt gris, ull, ;Notrura;5,00;ja;ja;5,00;¯konomisk l¿nnsomhet, investeringsbehov, kost-nytte vurdering utstyrsnivŒ og tiltak.;Ugressbekjempelse, rydde skog, sette opp gjerder;3,50;ja;ja;F¿rutviklingen;ja;Gr¿fting;100;ja;ja;nei
30;1263;04.02.19;Par;68;Pensjonist;40;1300;nei;0;0;nei;nei;ja;nei;3,00;4,00;ja;familie, naboer, avl¿yser;Holde i hvevd, vedlikeholde invistere litt, lite gjeld holde hode over vannet, invistere etter mŒte.;nei;nei;nei;3,00;Landbrukskontoret, Fatland, Naboer;Nei;2,00;nei;0;5,00;0,00;ja;Nett;ja;Ved;ja;SlŒ av lyset, sparep¾rer;Borrehull, br¿nn;6,00;4,00;Gress;4,00;ja;husdyr /Kunst;ja;Skog, beite, Jakt;2,00;ja;nei;nei;ja;Villsau ute;nei;ja;18- 3-15,;0,40;nei;nei;nei;nei;0;ja;0.015;0,60;ja;Villsau utegang, tomter;1,00;ja;kj¿tt villsau;Nortura, Fatland;3,00;ja;nei;5,00;Store gŒrder, flere typer dyr, vanskelig Œ finne tilleggsareal n¾rt hjemmegŒrden, smŒ bruk uten konsesjonsplikt, tar ikke v¾re pŒ gŒrden. Vanskelig med store enheter pŒ Vestlandet, Fritid - avl¿yserordning, l¿nnsomhet for smŒ bruk.;Mekanisk rive, beitepusser, slŒmaskin, silopakker, vedmaskin;4,00;ja;ja;VŒtt til t¿rking av t¿rh¿y;nei;NA;20;nei;ja;ja
31;1260;19.02.19;Mann;53;0;26;290;ja;3;Dyrket mark;ja;ja;nei ;nei;6,00;3,00;ja;avl¿yser;gŒr mot stordrift, samdrift;nei;nei;ja;6,00;Nabo, Landbrukskontoret;Ja;3,00;nei;0;6,00;4,00;ja;Nett;ja;Ved;ja;Skifter til Ledlysr¿r;kommunalt;6,00;3,00;Gress;3,00;ja;husdyr /Kunst;ja;Skog, Beite, jakt hjort;2,00;nei;ja;ja;nei;Ku;nei;ja;25-2-6, 22-2-12, 18-3-15;7,50;ja;nei;ja;ja;Œpne kanaler rundt, Vegitasjon i kanalenr, Gr¿fting, lite pl¿ying;ja;0.382165605;60,00;ja;Melk, okser;2,00;nei;Melk, kj¿tt ku okse, ;Tine, nortura;3,00;ja;ja;5,00;Mye krav/kurs, mye byrŒkrati;Lausdrift, Redskapshus;5,00;ja;ja;vŒtt;ja;Gr¿fting;15;ja;ja;ja
33;1260;22.02.19;Mann;33;100;6;400;ja;1;Dyrket mark;nei;nei;ja;nei;2,00;2,00;ja;familie;Jobb bygging, Utslipp, lite kraftf™r;ja;ja;nei;4,50;Foreldre, Beitelag, V¾rering;Ja;3,00;ja;Beitelag, SmŒbrukerlaget;5,00;4,00;ja;Nett;ja;Ved, bensin;nei;;Kommunalt;6,00;3,00;Gress, frukt;3,50;ja;husdyr /Kunst;ja;Beite, Skog, jakt hjort;2,00;ja;nei;ja;nei;Sau;nei;ja;18-3-15,;3,60;nei;nei;nei;nei;Gr¿fter, tvillinghjul, tilpasset kj¿ring;ja;0.040677966;2,40;ja;Sau, Direktesalg til lokalmat;2,00;nei;kj¿tt, ull, slagt;Nortura, Lokalforedling;6,00;ja;nei;6,00;¯konomi for neste generasjon, Status;Byggninger fj¿s, Skog bruk gjort om, gj¾ring, gr¿fting;3,00;nei;ja;Vann;nei;;40;nei;ja;ja
34;1260;25.02.19;Par;67;Pensjonist;23;400;ja;5;Dyrket mark og beite;nei;nei;nei ;ja;6,00;4,50;ja;familie;Litt st¿rrelse, melk;nei;nei;nei;6,00;Landbrukskontoret, NLR, Tine, Geno, Nortura;Ja;6,00;ja;Naboer;6,00;3,00;ja;Nett, Agregat;ja;;ja;Varmepumpe, ledlysp¾rer;Br¿nn, kommunalt;6,00;4,00;Gress;3,00;ja;husdyr /Kunst;ja;Lynd, beite, jakt hjort;3,00;nei;ja;ja;nei;Ku;nei;ja;22-2-12, 18-3-15;6,50;ja;nei;ja;ja;Lite pl¿ying;ja;0.105263158;8,00;ja;Kviger drektige, okser;2,00;nei;Drektige kviger, Kj¿tt okser;Fatland, nortura;6,00;ja;nei;6,00;Sitka, V¾ret, lite interesse fra unge;Overtakelse;2,00;ja;ja;vŒtt;ja;Gr¿fting;50;ja;ja;ja
36;1263;20.02.19;Mann;65;60;30;100;nei;0;0;nei;ja;ja;nei;4,00;5,00;ja;avl¿yser;Lokale ressursbruk;ja;nei;ja;4,00;Landbrukskontoret, venner;Nei;4,00;nei;0;2,00;1,00;ja;Nett;ja;Ved;ja;Varmepumpe, slokke lys;Borrehull, kommunalt;6,00;4,50;;5,00;ja;husdyr /Kunst;ja;Beite, ved;4,00;nei;nei;ja;ja;Sau, Ku;nei;ja;22-3-12,;0,40;nei;nei;nei;nei;Kj¿rer lite pŒ vŒt jord, Tvillinghjul, Lar tr¾r stŒ igjen, vegetasjon ved bekken;ja;0.109090909;1,20;ja;Kai, sau, villsau, tomter;4,00;ja;Skinn, kj¿tt, utleie;Privat, nortura;4,50;ja;nei;5,00;Penger, konkurser, overinvesteringer, Konflikter, tid er penger;Utleie av hytter, Utvide kai, Turisme med bŒtutleie;5,00;ja;nei;;ja;Bygging ved sjÌüen;25;nei;ja;nei
40;1259;21.02.19;Mann;67;Pensjonist;42;230;ja;5;Dyrket mark og beite;nei;nei;nei ;ja;5,00;4,00;ja;familie;SmŒ gŒrder;nei;nei;nei;3,50;NLR, Nabo;Ja;4,00;ja;B¿nder rundt, Veterin¾r;5,00;2,00;ja;Nett, Agregat;ja;Ved, Bensin;nei;;Kommunalt;6,00;6,00;Gress, potet;4,00;ja;Kunst;ja;Beite, Jakt, Hav;2,00;nei;nei;ja;nei;Sau;nei;ja;18-3-15,;2,00;ja;nei;ja;ja;Kj¿rer forsiktig;ja;0.092105263;3,50;ja;Sau, Fiske, Poteter, Utleie av lyngheie;4,00;ja;Saukj¿tt, ull;Fatland;5,00;ja;ja;6,00;Tilleggsjobb, ¿konomi;Oppdyrking;2,00;ja;ja;;ja;Gr¿fte nye;7;nei;ja;ja
43;1260;25.02.19;Mann;53;100;6;2000;ja;3;Utmark;ja;nei;nei ;ja;5,00;4,00;ja;familie, avl¿yser;Dyr og landskap forvaltning;ja;ja;nei;3,00;Venner, nettet;Ja;4,00;ja;Facebook, 4 sammen. ;5,00;0,00;nei;0;ja;Bensin;nei;Bruker lite;Naturlige kilder;6,00;5,00;NA;6,00;nei;;ja;Lyng, beite;6,00;ja;nei;nei;ja;;nei;nei;0;0,00;nei;Brenning;nei;nei;0;nei;0;0,00;ja;Villsau;1,00;ja;Kj¿tt, Skinnfell, livdyr;Fatland, private;6,00;ja;nei;6,00;TŒpelige folk, politisk usikkerhet, import, veganere, overproduksjon;Kj¿lerom, direktesalg, lyngbrenning;3,00;ja;ja;VŒtt, utvasking;nei;;50;ja;ja;ja
